symbol,provider_symbol,asset_class,region,provider
asx/ASX,ASX.AX,stock,AU,yahoo
asx/AT1,AT1.AX,stock,AU,yahoo
asx/AT4,AT4.AX,stock,AU,yahoo
asx/AT4OD,AT4OD.AX,stock,AU,yahoo
asx/ATA,ATA.AX,stock,AU,yahoo
asx/ATC,ATC.AX,stock,AU,yahoo
asx/ATCO,ATCO.AX,stock,AU,yahoo
asx/ATG,ATG.AX,stock,AU,yahoo
asx/ATH,ATH.AX,stock,AU,yahoo
asx/ATM,ATM.AX,stock,AU,yahoo
asx/ATP,ATP.AX,stock,AU,yahoo
asx/ATR,ATR.AX,stock,AU,yahoo
asx/ATS,ATS.AX,stock,AU,yahoo
asx/ATT,ATT.AX,stock,AU,yahoo
asx/ATV,ATV.AX,stock,AU,yahoo
asx/ATX,ATX.AX,stock,AU,yahoo
asx/AU1,AU1.AX,stock,AU,yahoo
asx/AUA,AUA.AX,stock,AU,yahoo
asx/AUB,AUB.AX,stock,AU,yahoo
asx/AUC,AUC.AX,stock,AU,yahoo
asx/AUE,AUE.AX,stock,AU,yahoo
asx/AUG,AUG.AX,stock,AU,yahoo
asx/AUI,AUI.AX,stock,AU,yahoo
asx/AUQ,AUQ.AX,stock,AU,yahoo
asx/AUR,AUR.AX,stock,AU,yahoo
asx/AUV,AUV.AX,stock,AU,yahoo
asx/AUZ,AUZ.AX,stock,AU,yahoo
asx/AV1,AV1.AX,stock,AU,yahoo
asx/AVA,AVA.AX,stock,AU,yahoo
asx/AVD,AVD.AX,stock,AU,yahoo
asx/AVE,AVE.AX,stock,AU,yahoo
asx/AVG,AVG.AX,stock,AU,yahoo
asx/AVH,AVH.AX,stock,AU,yahoo
asx/AVL,AVL.AX,stock,AU,yahoo
asx/AVM,AVM.AX,stock,AU,yahoo
asx/AVR,AVR.AX,stock,AU,yahoo
asx/AVW,AVW.AX,stock,AU,yahoo
asx/AW1,AW1.AX,stock,AU,yahoo
asx/AWJ,AWJ.AX,stock,AU,yahoo
asx/AX1,AX1.AX,stock,AU,yahoo
asx/AX8,AX8.AX,stock,AU,yahoo
asx/AXE,AXE.AX,stock,AU,yahoo
asx/AXI,AXI.AX,stock,AU,yahoo
asx/AXL,AXL.AX,stock,AU,yahoo
asx/AXN,AXN.AX,stock,AU,yahoo
asx/AXP,AXP.AX,stock,AU,yahoo
asx/AYA,AYA.AX,stock,AU,yahoo
asx/AYM,AYM.AX,stock,AU,yahoo
asx/AYT,AYT.AX,stock,AU,yahoo
asx/AZ9,AZ9.AX,stock,AU,yahoo
asx/AZI,AZI.AX,stock,AU,yahoo
asx/AZJ,AZJ.AX,stock,AU,yahoo
asx/AZY,AZY.AX,stock,AU,yahoo
asx/B4P,B4P.AX,stock,AU,yahoo
asx/BAK,BAK.AX,stock,AU,yahoo
asx/BAKO,BAKO.AX,stock,AU,yahoo
asx/BAP,BAP.AX,stock,AU,yahoo
asx/BAS,BAS.AX,stock,AU,yahoo
